State_Name,Crop_Year,Season,Crop,Area,Production,crop_productivity
Andhra Pradesh,2001,Rabi       ,Onion,5966,112416,18.84277573
Andhra Pradesh,2001,Rabi       ,Ragi,12154,21238,1.747408261
Andhra Pradesh,2001,Rabi       ,Rice,968366,3667106,3.786900821
Andhra Pradesh,2001,Rabi       ,Wheat,1629,1126,0.691221608
Andhra Pradesh,2002,Kharif     ,Arhar/Tur,193830,60945,0.314425012
Andhra Pradesh,2002,Kharif     ,Bajra,51201,40025,0.781723013
Andhra Pradesh,2002,Kharif     ,Dry chillies,102139,193934,1.898726246
Andhra Pradesh,2002,Kharif     ,Groundnut,1173377,487858,0.415772595
Andhra Pradesh,2002,Kharif     ,Maize,32761,31749,0.969109612
Andhra Pradesh,2002,Kharif     ,Moong(Green Gram),61850,9343,0.151059014
Andhra Pradesh,2002,Kharif     ,Onion,12552,150053,11.95450924
Andhra Pradesh,2002,Kharif     ,Ragi,51719,52994,1.024652449
Andhra Pradesh,2002,Kharif     ,Rice,1354708,3532074,2.607258538
Andhra Pradesh,2002,Kharif     ,Soyabean,2439,0,0
Andhra Pradesh,2002,Kharif     ,Sunflower,378688,247547,0.653696447
Andhra Pradesh,2002,Rabi       ,Arhar/Tur,3426,1382,0.403385873
Andhra Pradesh,2002,Rabi       ,Bajra,1449,1196,0.825396825
Andhra Pradesh,2002,Rabi       ,Dry chillies,22988,39155,1.703279972
Andhra Pradesh,2002,Rabi       ,Groundnut,101783,172266,1.692483028
Andhra Pradesh,2002,Rabi       ,Maize,42052,291419,6.929967659
Andhra Pradesh,2002,Rabi       ,Moong(Green Gram),108621,27677,0.254803399
Andhra Pradesh,2002,Rabi       ,Onion,5303,80210,15.12540072
Andhra Pradesh,2002,Rabi       ,Ragi,8736,11264,1.289377289
Andhra Pradesh,2002,Rabi       ,Rice,512434,1783334,3.48012427
Andhra Pradesh,2002,Rabi       ,Wheat,1411,1302,0.922749823
Andhra Pradesh,2003,Kharif     ,Arhar/Tur,246874,86923,0.352094591
Andhra Pradesh,2003,Kharif     ,Bajra,93207,120071,1.288218696
Andhra Pradesh,2003,Kharif     ,Dry chillies,113975,466529,4.093257293
Andhra Pradesh,2003,Kharif     ,Groundnut,1177611,550255,0.467263808
Andhra Pradesh,2003,Kharif     ,Maize,47355,81259,1.715953965
Andhra Pradesh,2003,Kharif     ,Moong(Green Gram),121588,66192,0.544395829
Andhra Pradesh,2003,Kharif     ,Onion,13942,203378,14.58743365
Andhra Pradesh,2003,Kharif     ,Ragi,55292,68475,1.238425089
Andhra Pradesh,2003,Kharif     ,Rice,1367841,3707460,2.710446609
Andhra Pradesh,2003,Kharif     ,Soyabean,1696,1868,1.101415094
Andhra Pradesh,2003,Kharif     ,Sunflower,427759,270965,0.633452481
Andhra Pradesh,2003,Rabi       ,Arhar/Tur,2153,941,0.437064561
Andhra Pradesh,2003,Rabi       ,Bajra,1652,1619,0.980024213
Andhra Pradesh,2003,Rabi       ,Dry chillies,26139,55089,2.107540457
Andhra Pradesh,2003,Rabi       ,Groundnut,119623,212252,1.774341055
Andhra Pradesh,2003,Rabi       ,Maize,73876,413710,5.600059559
Andhra Pradesh,2003,Rabi       ,Moong(Green Gram),188335,63721,0.338338599
Andhra Pradesh,2003,Rabi       ,Onion,4647,75947,16.34323219
Andhra Pradesh,2003,Rabi       ,Ragi,10217,17916,1.753548008
Andhra Pradesh,2003,Rabi       ,Rice,589482,2346639,3.980849288
Andhra Pradesh,2003,Rabi       ,Wheat,1154,343,0.297227036
Andhra Pradesh,2004,Kharif     ,Arhar/Tur,223000,115098,0.516134529
Andhra Pradesh,2004,Kharif     ,Bajra,62499,67960,1.087377398
Andhra Pradesh,2004,Kharif     ,Dry chillies,108007,398973,3.693955021
Andhra Pradesh,2004,Kharif     ,Groundnut,1529378,1191873,0.779318782
Andhra Pradesh,2004,Kharif     ,Maize,44060,129205,2.932478438
Andhra Pradesh,2004,Kharif     ,Moong(Green Gram),58404,21727,0.372012191
Andhra Pradesh,2004,Kharif     ,Onion,17953,304591,16.96602239
Andhra Pradesh,2004,Kharif     ,Ragi,53677,59086,1.100769417
Andhra Pradesh,2004,Kharif     ,Rice,1564201,4765811,3.046802169
Andhra Pradesh,2004,Kharif     ,Soyabean,2206,1347,0.610607434
Andhra Pradesh,2004,Kharif     ,Sunflower,372498,233388,0.62654833
Andhra Pradesh,2004,Rabi       ,Arhar/Tur,1573,1112,0.706929434
Andhra Pradesh,2004,Rabi       ,Bajra,3488,4623,1.325401376
Andhra Pradesh,2004,Rabi       ,Dry chillies,21880,63542,2.904113346
Andhra Pradesh,2004,Rabi       ,Groundnut,116788,250273,2.142968456
Andhra Pradesh,2004,Rabi       ,Maize,80655,583029,7.228677701
Andhra Pradesh,2004,Rabi       ,Moong(Green Gram),136875,44591,0.325778995
Andhra Pradesh,2004,Rabi       ,Onion,4414,83921,19.01246035
Andhra Pradesh,2004,Rabi       ,Ragi,7340,13224,1.801634877
Andhra Pradesh,2004,Rabi       ,Rice,663481,2626867,3.959219631
Andhra Pradesh,2004,Rabi       ,Sunflower,253035,165450,0.653862114
Andhra Pradesh,2004,Rabi       ,Wheat,789,176,0.223067174
Andhra Pradesh,2005,Kharif     ,Arhar/Tur,229011,137406,0.59999738
Andhra Pradesh,2005,Kharif     ,Bajra,50466,60728,1.203344826
Andhra Pradesh,2005,Kharif     ,Dry chillies,69954,262361,3.750478886
Andhra Pradesh,2005,Kharif     ,Groundnut,1547866,848130,0.547935028
Andhra Pradesh,2005,Kharif     ,Maize,43883,180228,4.107011827
Andhra Pradesh,2005,Kharif     ,Moong(Green Gram),38092,26386,0.692691379
Andhra Pradesh,2005,Kharif     ,Onion,17192,322327,18.74866217
Andhra Pradesh,2005,Kharif     ,Ragi,47184,48084,1.019074262
Andhra Pradesh,2005,Kharif     ,Rice,1595180,3627084,2.273777254
Andhra Pradesh,2005,Kharif     ,Soyabean,3107,1713,0.551335694
Andhra Pradesh,2005,Rabi       ,Bajra,4001,4614,1.153211697
Andhra Pradesh,2005,Rabi       ,Dry chillies,18607,44859,2.410866878
Andhra Pradesh,2005,Rabi       ,Groundnut,128145,260799,2.035186703
Andhra Pradesh,2005,Rabi       ,Maize,75945,567377,7.47089341
Andhra Pradesh,2005,Rabi       ,Moong(Green Gram),123234,37420,0.303649967
Andhra Pradesh,2005,Rabi       ,Onion,6230,138672,22.25874799
Andhra Pradesh,2005,Rabi       ,Ragi,8563,15548,1.81571879
Andhra Pradesh,2005,Rabi       ,Rice,925543,3661637,3.956204088
Andhra Pradesh,2005,Rabi       ,Wheat,1089,641,0.588613407
Andhra Pradesh,2006,Kharif     ,Arhar/Tur,150683,53282,0.35360326
Andhra Pradesh,2006,Kharif     ,Bajra,37878,36060,0.952003802
Andhra Pradesh,2006,Kharif     ,Dry chillies,97072,407848,4.201499918
Andhra Pradesh,2006,Kharif     ,Groundnut,1044939,294580,0.281911193
Andhra Pradesh,2006,Kharif     ,Maize,40781,126215,3.094946176
Andhra Pradesh,2006,Kharif     ,Moong(Green Gram),36345,12702,0.349484111
Andhra Pradesh,2006,Kharif     ,Onion,15656,262501,16.76679867
Andhra Pradesh,2006,Kharif     ,Ragi,45887,43546,0.948983372
Andhra Pradesh,2006,Kharif     ,Rice,1681062,4302910,2.559637896
Andhra Pradesh,2006,Kharif     ,Soyabean,916,933,1.018558952
Andhra Pradesh,2006,Rabi       ,Arhar/Tur,617,327,0.529983793
Andhra Pradesh,2006,Rabi       ,Bajra,3036,3794,1.249670619
Andhra Pradesh,2006,Rabi       ,Dry chillies,24400,75435,3.091598361
Andhra Pradesh,2006,Rabi       ,Groundnut,110011,229469,2.085873231
Andhra Pradesh,2006,Rabi       ,Maize,93630,709453,7.577197479
Andhra Pradesh,2006,Rabi       ,Moong(Green Gram),130512,48807,0.373965612
Andhra Pradesh,2006,Rabi       ,Onion,4769,82020,17.19857412
Andhra Pradesh,2006,Rabi       ,Ragi,7747,12828,1.655866787
Andhra Pradesh,2006,Rabi       ,Rice,807821,3313482,4.10175274
Andhra Pradesh,2006,Rabi       ,Wheat,896,235,0.262276786
Andhra Pradesh,2007,Kharif     ,Arhar/Tur,208000,136000,0.653846154
Andhra Pradesh,2007,Kharif     ,Bajra,48000,74000,1.541666667
Andhra Pradesh,2007,Kharif     ,Dry chillies,109000,449000,4.119266055
Andhra Pradesh,2007,Kharif     ,Groundnut,1444000,1967000,1.362188366
Andhra Pradesh,2007,Kharif     ,Maize,49000,223000,4.551020408
Andhra Pradesh,2007,Kharif     ,Moong(Green Gram),57000,28000,0.49122807
Andhra Pradesh,2007,Kharif     ,Onion,20000,326000,16.3
Andhra Pradesh,2007,Kharif     ,Ragi,43000,50000,1.162790698
Andhra Pradesh,2007,Kharif     ,Rice,1734000,5573000,3.213956171
Andhra Pradesh,2007,Kharif     ,Sunflower,105000,66000,0.628571429
Andhra Pradesh,2007,Rabi       ,Bajra,2000,3000,1.5
Andhra Pradesh,2007,Rabi       ,Dry chillies,25000,60000,2.4
Andhra Pradesh,2007,Rabi       ,Groundnut,145000,291000,2.006896552
Andhra Pradesh,2007,Rabi       ,Maize,133000,1035000,7.781954887
Andhra Pradesh,2007,Rabi       ,Moong(Green Gram),136000,39000,0.286764706
Andhra Pradesh,2007,Rabi       ,Onion,4000,59000,14.75
Andhra Pradesh,2007,Rabi       ,Ragi,7000,8000,1.142857143
Andhra Pradesh,2007,Rabi       ,Rice,842000,3307000,3.927553444
Andhra Pradesh,2007,Rabi       ,Sunflower,229000,255000,1.113537118
Andhra Pradesh,2008,Kharif     ,Arhar/Tur,180492,74045,0.410239789
Andhra Pradesh,2008,Kharif     ,Bajra,35466,42205,1.19001297
Andhra Pradesh,2008,Kharif     ,Dry chillies,101109,417612,4.130314809
Andhra Pradesh,2008,Kharif     ,Groundnut,1450854,407157,0.280632648
Andhra Pradesh,2008,Kharif     ,Maize,53056,207450,3.910019602
Andhra Pradesh,2008,Kharif     ,Moong(Green Gram),21702,8546,0.393788591
Andhra Pradesh,2008,Kharif     ,Onion,22847,383929,16.80435068
Andhra Pradesh,2008,Kharif     ,Ragi,41098,37424,0.910603922
Andhra Pradesh,2008,Kharif     ,Rice,1777376,5206963,2.929578772
Andhra Pradesh,2008,Kharif     ,Soyabean,453,618,1.364238411
Andhra Pradesh,2008,Rabi       ,Arhar/Tur,633,368,0.58135861
Andhra Pradesh,2008,Rabi       ,Bajra,1799,4131,2.296275709
Andhra Pradesh,2008,Rabi       ,Dry chillies,20581,68390,3.322967786
Andhra Pradesh,2008,Rabi       ,Groundnut,114877,250431,2.179992514
Andhra Pradesh,2008,Rabi       ,Maize,198299,1751018,8.830190773
Andhra Pradesh,2008,Rabi       ,Moong(Green Gram),101802,34629,0.340160311
Andhra Pradesh,2008,Rabi       ,Onion,4076,71149,17.45559372
Andhra Pradesh,2008,Rabi       ,Ragi,4890,8354,1.708384458
Andhra Pradesh,2008,Rabi       ,Rice,918349,3673623,4.000247183
Andhra Pradesh,2008,Rabi       ,Wheat,1033,705,0.682478219
Andhra Pradesh,2009,Kharif     ,Arhar/Tur,162154,86342,0.532469134
Andhra Pradesh,2009,Kharif     ,Bajra,26185,39973,1.526561008
Andhra Pradesh,2009,Kharif     ,Dry chillies,98780,439756,4.451872849
Andhra Pradesh,2009,Kharif     ,Groundnut,974067,360086,0.369672723
Andhra Pradesh,2009,Kharif     ,Maize,44998,164474,3.655140228
Andhra Pradesh,2009,Kharif     ,Moong(Green Gram),21628,4065,0.187950805
Andhra Pradesh,2009,Kharif     ,Onion,20354,329597,16.19322983
Andhra Pradesh,2009,Kharif     ,Ragi,37199,40589,1.091131482
Andhra Pradesh,2009,Kharif     ,Rice,1467985,4320894,2.943418359
Andhra Pradesh,2009,Kharif     ,Soyabean,167,133,0.796407186
Andhra Pradesh,2009,Rabi       ,Arhar/Tur,8556,5460,0.638148668
Andhra Pradesh,2009,Rabi       ,Bajra,2419,5276,2.181066556
Andhra Pradesh,2009,Rabi       ,Dry chillies,23583,90889,3.854005004
Andhra Pradesh,2009,Rabi       ,Groundnut,113696,287666,2.530132986
Andhra Pradesh,2009,Rabi       ,Maize,168354,1230694,7.310155981
Andhra Pradesh,2009,Rabi       ,Moong(Green Gram),83641,33327,0.398452912
Andhra Pradesh,2009,Rabi       ,Onion,4140,103510,25.00241546
Andhra Pradesh,2009,Rabi       ,Ragi,5908,10982,1.858835477
Andhra Pradesh,2009,Rabi       ,Rice,857744,3248177,3.786883965
Andhra Pradesh,2009,Rabi       ,Wheat,790,427,0.540506329
Andhra Pradesh,2010,Kharif     ,Arhar/Tur,292829,111907,0.382158188
Andhra Pradesh,2010,Kharif     ,Bajra,44541,79982,1.795693855
Andhra Pradesh,2010,Kharif     ,Dry chillies,98156,321255,3.272902319
Andhra Pradesh,2010,Kharif     ,Groundnut,1316601,856202,0.650312433
Andhra Pradesh,2010,Kharif     ,Maize,49027,203376,4.148244845
Andhra Pradesh,2010,Kharif     ,Moong(Green Gram),66018,17096,0.258959678
Andhra Pradesh,2010,Kharif     ,Onion,22820,453197,19.85964067
Andhra Pradesh,2010,Kharif     ,Ragi,34778,39747,1.142877681
Andhra Pradesh,2010,Kharif     ,Rice,1796839,3973878,2.211593804
Andhra Pradesh,2010,Kharif     ,Soyabean,1962,3345,1.704892966
Andhra Pradesh,2010,Rabi       ,Arhar/Tur,3845,2316,0.602340702
Andhra Pradesh,2010,Rabi       ,Bajra,3671,8324,2.267502043
Andhra Pradesh,2010,Rabi       ,Dry chillies,20030,77075,3.847978033
Andhra Pradesh,2010,Rabi       ,Groundnut,109510,249610,2.279335221
Andhra Pradesh,2010,Rabi       ,Maize,184393,1681079,9.116826561
Andhra Pradesh,2010,Rabi       ,Moong(Green Gram),101319,35591,0.351276661
Andhra Pradesh,2010,Rabi       ,Onion,6146,137736,22.41067361
Andhra Pradesh,2010,Rabi       ,Ragi,4847,7140,1.47307613
Andhra Pradesh,2010,Rabi       ,Rice,975538,3909200,4.007224731
Andhra Pradesh,2010,Rabi       ,Wheat,757,1061,1.401585205
Arunachal Pradesh,2000,Kharif     ,Maize,38429,52297,1.360873299
Arunachal Pradesh,2000,Kharif     ,Rice,118601,132690,1.118793265
Arunachal Pradesh,2000,Rabi       ,Wheat,4397,6226,1.415965431
Arunachal Pradesh,2001,Kharif     ,Maize,38577,52511,1.361199679
Arunachal Pradesh,2001,Kharif     ,Rice,119455,134621,1.126959943
Arunachal Pradesh,2001,Rabi       ,Wheat,3805,5341,1.403679369
Arunachal Pradesh,2002,Kharif     ,Maize,40548,55941,1.379624149
Arunachal Pradesh,2002,Kharif     ,Rice,124584,152500,1.224073717
Arunachal Pradesh,2002,Rabi       ,Wheat,4114,6250,1.519202722
Arunachal Pradesh,2003,Kharif     ,Maize,38605,54510,1.411993265
Arunachal Pradesh,2003,Kharif     ,Rice,119205,154589,1.296833187
Arunachal Pradesh,2003,Rabi       ,Wheat,4150,6320,1.522891566
Arunachal Pradesh,2004,Kharif     ,Maize,37800,54985,1.45462963
Arunachal Pradesh,2004,Kharif     ,Rice,121642,134950,1.109403002
Arunachal Pradesh,2004,Rabi       ,Wheat,4278,6652,1.554932211
Arunachal Pradesh,2005,Kharif     ,Maize,41853,57898,1.383365589
Arunachal Pradesh,2005,Kharif     ,Rice,122267,146191,1.195670132
Arunachal Pradesh,2005,Rabi       ,Wheat,3976,6140,1.544265594
Arunachal Pradesh,2006,Kharif     ,Maize,46281,63524,1.372571898
Arunachal Pradesh,2006,Kharif     ,Rice,123038,144635,1.175531137
Arunachal Pradesh,2006,Rabi       ,Wheat,3979,6301,1.583563709
Arunachal Pradesh,2007,Kharif     ,Maize,42736,57430,1.343831898
Arunachal Pradesh,2007,Kharif     ,Rice,124029,158146,1.275072765
Arunachal Pradesh,2007,Rabi       ,Wheat,3558,5294,1.487914559
Arunachal Pradesh,2008,Kharif     ,Maize,42897,58830,1.371424575
Arunachal Pradesh,2008,Kharif     ,Rice,126799,164538,1.29762853
Arunachal Pradesh,2008,Rabi       ,Wheat,3278,5169,1.576876144
Arunachal Pradesh,2009,Kharif     ,Maize,43630,60144,1.378501031
Arunachal Pradesh,2009,Kharif     ,Rice,121468,143894.6,1.184629697
Arunachal Pradesh,2009,Rabi       ,Wheat,3170,4770,1.504731861
Arunachal Pradesh,2010,Kharif     ,Maize,45061,64714,1.436142118
Arunachal Pradesh,2010,Kharif     ,Rice,121570,155993,1.283153739
Arunachal Pradesh,2010,Rabi       ,Wheat,3699,5872,1.587456069
Assam,2000,Kharif     ,Arhar/Tur,7280,5159,0.708653846
Assam,2000,Kharif     ,Maize,20241,14616,0.722098711
Assam,2000,Rabi       ,Wheat,70301,85695,1.218972703
Assam,2001,Kharif     ,Arhar/Tur,7236,5125,0.708264234
Assam,2001,Kharif     ,Maize,19600,13940,0.71122449
Assam,2001,Rabi       ,Masoor,21308,11217,0.526422001
Assam,2001,Rabi       ,Moong(Green Gram),8206,3740,0.455764075
Assam,2001,Rabi       ,Wheat,72245,85300,1.180704547
Assam,2002,Kharif     ,Arhar/Tur,7013,4961,0.707400542
Assam,2002,Kharif     ,Maize,19812,14194,0.716434484
Assam,2002,Rabi       ,Masoor,19730,10694,0.542017233
Assam,2002,Rabi       ,Moong(Green Gram),7161,3286,0.458874459
Assam,2002,Rabi       ,Wheat,69061,77952,1.128741258
Assam,2003,Kharif     ,Arhar/Tur,7012,4940,0.70450656
Assam,2003,Kharif     ,Maize,19569,14051,0.718023404
Assam,2003,Rabi       ,Masoor,21736,11721,0.539243651
Assam,2003,Rabi       ,Moong(Green Gram),7595,3513,0.462541145
Assam,2003,Rabi       ,Wheat,69954,73186,1.04620179
Assam,2004,Kharif     ,Arhar/Tur,6733,4751,0.705628992
Assam,2004,Rabi       ,Masoor,20386,11041,0.541597175
Assam,2004,Rabi       ,Moong(Green Gram),7293,3429,0.470176882
Assam,2004,Rabi       ,Wheat,63854,68083,1.06622921
Assam,2005,Kharif     ,Arhar/Tur,6473,4529,0.699675575
Assam,2005,Kharif     ,Maize,18969,13745,0.7246033
Assam,2005,Rabi       ,Masoor,18583,9877,0.531507292
Assam,2005,Rabi       ,Moong(Green Gram),7512,3428,0.456336528
Assam,2005,Rabi       ,Wheat,49961,53735,1.07553892
Assam,2006,Kharif     ,Arhar/Tur,6676,4769,0.71434991
Assam,2006,Kharif     ,Maize,18657,13557,0.726644155
Assam,2006,Rabi       ,Masoor,20137,10602,0.526493519
Assam,2006,Rabi       ,Moong(Green Gram),7374,3395,0.46040141
Assam,2006,Rabi       ,Wheat,59573,67413,1.131603243
Assam,2007,Kharif     ,Arhar/Tur,5893,4230,0.717800781
Assam,2007,Kharif     ,Maize,18362,13317,0.725247794
Assam,2007,Rabi       ,Masoor,22469,10592,0.471405047
Assam,2007,Rabi       ,Moong(Green Gram),7719,3550,0.459904133
Assam,2007,Rabi       ,Wheat,56069,70797,1.262676345
Assam,2008,Kharif     ,Arhar/Tur,5368,3811,0.709947839
Assam,2008,Kharif     ,Maize,17382,12619,0.7259809
Assam,2008,Rabi       ,Masoor,21726,11084,0.510172144
Assam,2008,Rabi       ,Moong(Green Gram),5634,2586,0.458998935
Assam,2008,Rabi       ,Wheat,50053,54551,1.089864743
Assam,2009,Kharif     ,Arhar/Tur,6191,4408,0.712001292
Assam,2009,Kharif     ,Maize,19481,13981,0.717673631
Assam,2009,Rabi       ,Banana,44980,621747,13.82274344
Assam,2009,Rabi       ,Masoor,23227,11661,0.502045034
Assam,2009,Rabi       ,Moong(Green Gram),7519,3439,0.457374651
Assam,2009,Rabi       ,Wheat,60067,65301,1.087136031
Assam,2010,Kharif     ,Arhar/Tur,7137,5098,0.714305731
Assam,2010,Kharif     ,Maize,19772,14110,0.713635444
Assam,2010,Rabi       ,Banana,47628,653502,13.72096246
Assam,2010,Rabi       ,Masoor,23895,11820,0.494664156
Assam,2010,Rabi       ,Moong(Green Gram),9022,4243,0.470294835
Assam,2010,Rabi       ,Wheat,44772,56216,1.255606182
Bihar,2000,Kharif     ,Arhar/Tur,43604,58858,1.349830291
Bihar,2000,Kharif     ,Bajra,1534,1266,0.825293351
Bihar,2000,Kharif     ,Groundnut,96,106,1.104166667
Bihar,2000,Kharif     ,Maize,272957,477141,1.748044564
Bihar,2000,Kharif     ,Moong(Green Gram),9229,5165.1,0.559659768
Bihar,2000,Kharif     ,Ragi,22452,24827,1.105781222
Bihar,2000,Kharif     ,Rice,591705,786858,1.329814688
Bihar,2000,Kharif     ,Sunflower,10838,16707,1.541520576
Bihar,2000,Rabi       ,Maize,191502,549109,2.867379975
Bihar,2000,Rabi       ,Masoor,172202,170805,0.991887435
Bihar,2000,Rabi       ,Moong(Green Gram),177813,103366,0.581318576
Bihar,2000,Rabi       ,Wheat,2067333,4437958,2.146706892
Bihar,2001,Kharif     ,Arhar/Tur,41954,53809,1.282571388
Bihar,2001,Kharif     ,Bajra,828,598,0.722222222
Bihar,2001,Kharif     ,Groundnut,245,137,0.559183673
Bihar,2001,Kharif     ,Moong(Green Gram),7902,4465,0.565046824
Bihar,2001,Kharif     ,Ragi,19726,17318,0.877927608
Bihar,2001,Kharif     ,Rice,126106,243661,1.932191965
Bihar,2001,Kharif     ,Sunflower,13150,16108,1.224942966
Bihar,2001,Rabi       ,Maize,187399,622294,3.320690078
Bihar,2001,Rabi       ,Masoor,170834,140299,0.821259234
Bihar,2001,Rabi       ,Wheat,2181543,4499130,2.062361365
Bihar,2002,Kharif     ,Arhar/Tur,37680,42966,1.140286624
Bihar,2002,Kharif     ,Bajra,1018,1048,1.029469548
Bihar,2002,Kharif     ,Groundnut,371,183,0.493261456
Bihar,2002,Kharif     ,Moong(Green Gram),10659,5746,0.53907496
Bihar,2002,Kharif     ,Ragi,20695,14237,0.687943948
Bihar,2002,Kharif     ,Sunflower,13359,17393,1.30196871
Bihar,2002,Rabi       ,Maize,187707,520263,2.77167607
Bihar,2002,Rabi       ,Masoor,179581,156613,0.872102283
Bihar,2002,Rabi       ,Wheat,2130933,4040610,1.896169424
Bihar,2003,Kharif     ,Arhar/Tur,38855,48100,1.237935916
Bihar,2003,Kharif     ,Bajra,1568,1638,1.044642857
Bihar,2003,Kharif     ,Groundnut,468,231,0.493589744
Bihar,2003,Kharif     ,Maize,259030,438013,1.690974018
Bihar,2003,Kharif     ,Moong(Green Gram),8398,4231,0.503810431
Bihar,2003,Kharif     ,Ragi,15187,10236,0.673997498
Bihar,2003,Kharif     ,Rice,190236,270831,1.423657983
Bihar,2003,Kharif     ,Sunflower,17531,24157,1.377959044
Bihar,2003,Rabi       ,Maize,196338,594736,3.02914362
Bihar,2003,Rabi       ,Masoor,171037,159754,0.934031818
Bihar,2003,Rabi       ,Moong(Green Gram),24894,11255,0.452116976
Bihar,2003,Rabi       ,Wheat,2076839,3688941,1.776228682
Bihar,2004,Kharif     ,Arhar/Tur,35839,44223,1.233935099
Bihar,2004,Kharif     ,Bajra,1200,1297,1.080833333
Bihar,2004,Kharif     ,Groundnut,539,266,0.493506494
Bihar,2004,Kharif     ,Maize,270973,443819,1.63787167
Bihar,2004,Kharif     ,Moong(Green Gram),7323,3617,0.493923255
Bihar,2004,Kharif     ,Ragi,15570,10512,0.675144509
Bihar,2004,Kharif     ,Sunflower,16555,23429,1.415221987
Bihar,2004,Rabi       ,Maize,192685,596181,3.094070633
Bihar,2004,Rabi       ,Masoor,178768,127032,0.710596975
Bihar,2004,Rabi       ,Wheat,2027643,3263385,1.609447521
Bihar,2005,Kharif     ,Arhar/Tur,34204,45211,1.321804467
Bihar,2005,Kharif     ,Bajra,4338,4591,1.058321807
Bihar,2005,Kharif     ,Groundnut,911,450,0.493962678
Bihar,2005,Kharif     ,Maize,276983,456105,1.646689508
Bihar,2005,Kharif     ,Moong(Green Gram),8247,4898,0.593912938
Bihar,2005,Kharif     ,Ragi,14237,12825,0.900821802
Bihar,2005,Kharif     ,Sunflower,22713,30541,1.344648439
Bihar,2005,Rabi       ,Maize,212073,637203,3.004639912
Bihar,2005,Rabi       ,Masoor,159358,117763,0.738983923
Bihar,2005,Rabi       ,Wheat,2001771,2821120,1.409312054
Bihar,2006,Kharif     ,Arhar/Tur,35631,44278,1.242681934
Bihar,2006,Kharif     ,Bajra,4106,4417,1.075742815
Bihar,2006,Kharif     ,Maize,259494,397591,1.532178008
Bihar,2006,Kharif     ,Moong(Green Gram),6987,4067,0.582081008
Bihar,2006,Kharif     ,Ragi,14328,12452,0.86906756
Bihar,2006,Rabi       ,Maize,206084,744274,3.611507929
Bihar,2006,Rabi       ,Masoor,167871,121853,0.725872843
Bihar,2006,Rabi       ,Sunflower,22828,30506,1.336341335
Bihar,2006,Rabi       ,Wheat,2076727,4155541,2.001004947
Bihar,2007,Kharif     ,Arhar/Tur,30860,42667,1.382598833
Bihar,2007,Kharif     ,Bajra,3497,3856,1.102659422
Bihar,2007,Kharif     ,Groundnut,1207,868,0.71913836
